VP;Position;Age;UseFrequency;Experience;Sex;N170FewImageNull_Component;N170FewImageNull_Ease;N170FewImageNull_Aesthetic;N170FewImageNull_Content;N170FewJointNull_Component;N170FewJointNull_Ease;N170FewJointNull_Aesthetic;N170FewJointNull_Content;N170FewTopoNull_Component;N170FewTopoNull_Ease;N170FewTopoNull_Aesthetic;N170FewTopoNull_Content;N170FewImageEffect_Component;N170FewImageEffect_Ease;N170FewImageEffect_Aesthetic;N170FewImageEffect_Content;N170FewJointEffect_Component;N170FewJointEffect_Ease;N170FewJointEffect_Aesthetic;N170FewJointEffect_Content;N170FewTopoEffect_Component;N170FewTopoEffect_Ease;N170FewTopoEffect_Aesthetic;N170FewTopoEffect_Content;N170AllImageNull_Component;N170AllImageNull_Ease;N170AllImageNull_Aesthetic;N170AllImageNull_Content;N170AllJointNull_Component;N170AllJointNull_Ease;N170AllJointNull_Aesthetic;N170AllJointNull_Content;N170AllTopoNull_Component;N170AllTopoNull_Ease;N170AllTopoNull_Aesthetic;N170AllTopoNull_Content;N170AllImageEffect_Component;N170AllImageEffect_Ease;N170AllImageEffect_Aesthetic;N170AllImageEffect_Content;N170AllJointEffect_Component;N170AllJointEffect_Ease;N170AllJointEffect_Aesthetic;N170AllJointEffect_Content;N170AllTopoEffect_Component;N170AllTopoEffect_Ease;N170AllTopoEffect_Aesthetic;N170AllTopoEffect_Content;P3FewImageEffect_Component;P3FewImageEffect_Ease;P3FewImageEffect_Aesthetic;P3FewImageEffect_Content;P3FewJointEffect_Component;P3FewJointEffect_Ease;P3FewJointEffect_Aesthetic;P3FewJointEffect_Content;P3FewTopoEffect_Component;P3FewTopoEffect_Ease;P3FewTopoEffect_Aesthetic;P3FewTopoEffect_Content;P3AllImageEffect_Component;P3AllImageEffect_Ease;P3AllImageEffect_Aesthetic;P3AllImageEffect_Content;P3AllJointEffect_Component;P3AllJointEffect_Ease;P3AllJointEffect_Aesthetic;P3AllJointEffect_Content;P3AllTopoEffect_Component;P3AllTopoEffect_Ease;P3AllTopoEffect_Aesthetic;P3AllTopoEffect_Content;Comment;datetime;date_of_last_access;date_of_first_mail
11;4;54;1;4;2;0;1;1;1;1;3;3;3;0;4;3;4;1;2;2;2;0;3;3;3;1;4;3;4;0;1;3;2;1;1;1;1;0;1;3;1;0;2;2;2;1;3;3;3;0;2;2;2;1;3;3;3;1;2;3;3;1;4;3;4;1;3;3;3;1;3;3;4;1;2;2;2;1) The final image was not visible in my browser for some reason.  2) I'm a little bit concerned about drawing conclusions about these classes of visualizations from the particular examples.  There may be peculiarities of the specific examples that are not necessary features of the whole class.  For example, when the time bar just shows values of 0 and 250 ms, that reduces the information available.;11.08.2018 00:13;11.08.2018 15:23;0000-00-00 00:00:00
12;4;36;3;4;2;0;4;4;3;0;2;1;5;1;5;1;5;1;4;4;4;1;2;1;4;1;5;1;5;0;2;4;4;0;1;1;1;0;5;2;5;0;3;4;4;1;3;1;5;1;5;2;5;1;3;4;4;1;3;1;5;1;5;2;5;1;1;1;5;1;5;1;5;1;3;4;5;The questions on the previous page had no image of ERPs associated with it - an image did not load.;13.08.2018 16:02;13.08.2018 16:18;0000-00-00 00:00:00
13;4;60;2;4;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;4;2;3;NaN;NaN;NaN;NaN;0;3;2;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;3;1;2;0;3;2;3;0;4;2;3;NaN;NaN;NaN;NaN;1;4;2;2;1;5;3;3;NaN;NaN;NaN;NaN;1;4;3;3;NaN;NaN;NaN;NaN;1;4;3;3;-66;14.08.2018 11:08;14.08.2018 11:16;0000-00-00 00:00:00
14;3;36;1;4;2;0;1;1;3;1;5;5;5;1;1;1;5;1;3;1;3;1;5;5;5;1;3;1;3;0;1;1;5;NaN;NaN;NaN;NaN;1;1;3;5;1;3;1;5;0;5;5;5;0;1;3;5;1;2;1;3;1;5;5;5;0;1;1;3;1;5;5;5;1;3;3;5;1;3;1;5;-66;15.08.2018 13:54;15.08.2018 14:08;0000-00-00 00:00:00
15;2;29;1;4;2;0;2;1;2;0;5;5;3;0;1;1;2;1;5;3;3;1;5;5;4;1;4;2;3;0;1;1;1;0;1;1;1;0;1;1;2;1;2;1;5;1;2;5;2;1;3;2;4;1;5;2;2;0;5;5;4;1;3;1;2;0;5;5;3;0;1;1;2;1;4;2;2;-99;15.08.2018 14:06;15.08.2018 14:33;0000-00-00 00:00:00
16;3;36;3;4;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0;4;2;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;1;2;2;4;0;3;4;3;NaN;NaN;NaN;NaN;0;1;2;4;0;3;3;3;0;2;2;4;0;2;2;4;NaN;NaN;NaN;NaN;1;5;5;4;0;3;1;3;0;5;5;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-66;15.08.2018 13:59;15.08.2018 14:03;0000-00-00 00:00:00
20;2;37;1;4;2;1;2;3;3;0;4;4;4;1;1;2;2;0;3;4;3;1;2;4;2;0;2;2;2;0;2;4;2;0;1;1;1;0;2;2;3;1;4;4;3;0;1;3;3;0;3;2;4;1;4;4;4;0;1;2;1;1;4;2;3;1;1;4;5;0;2;2;3;1;3;4;3;One of the question did not have any image at all.  ;15.08.2018 14:43;15.08.2018 14:53;0000-00-00 00:00:00
22;3;35;1;4;2;0;2;3;4;0;4;5;5;0;4;4;5;1;4;3;3;1;4;4;5;1;3;2;5;0;3;3;5;0;3;3;3;1;4;3;5;0;3;3;4;1;4;5;5;1;3;3;5;1;2;2;5;1;5;5;4;1;5;4;5;1;5;4;4;1;4;2;5;1;3;3;5;Occasionally the page would load slowly and I would see the filename of the figure prior to it loading. You might consider obscuring the ERP component in the figure name to prevent bias/priming.;15.08.2018 15:29;15.08.2018 16:04;0000-00-00 00:00:00
33;2;30;1;4;2;1;3;5;4;1;3;5;4;1;2;2;3;1;5;4;5;1;5;5;4;1;3;2;2;0;3;4;4;0;3;3;3;0;1;1;2;1;4;5;4;1;5;5;5;1;2;2;2;1;5;5;5;0;4;5;4;1;5;2;3;0;5;5;5;0;1;1;4;1;5;5;5;Over all images, there was the same title. Some images did not load, many of them needed me to reload the site over and over until they were displayed.;17.08.2018 12:19;17.08.2018 12:31;0000-00-00 00:00:00
35;4;46;3;4;2;1;3;4;4;0;4;3;5;0;3;2;3;0;3;4;4;0;4;4;4;1;3;2;3;1;4;4;4;0;1;1;1;0;3;2;3;0;3;4;4;1;4;3;4;1;4;2;4;1;4;4;4;1;4;4;4;0;4;2;3;1;4;4;4;1;3;2;3;1;3;4;4;for the last three questions, no ERP display was available.;17.08.2018 14:06;17.08.2018 14:30;0000-00-00 00:00:00
